title,company,location,skills,link,salary_min,salary_max,mid_salary,is_remote,has_english
Data Analyst with German,Harvey Nash Technology,Zdalnie,"['Data', 'Tableau', 'Power BI', 'BI']",/pl/job/data-analyst-with-german-harvey-nash-technology-remote,25200.0,31920.0,28560.0,True,False
HR Data & Reporting Analyst,Capgemini Polska Sp. z o.o.,Kraków,"['Business Intelligence', 'Reporting', 'Analytics', 'Workday']",/pl/job/hr-data-reporting-analyst-capgemini-polska-krakow,,,,False,False
Data Analyst,Ework Group,Warszawa,"['Data', 'SQL', 'DB', 'ETL']",/pl/job/data-analyst-ework-group-warszawa-5,21840.0,25200.0,23520.0,False,False
Manufacturing Data & Systems Analyst,Link Group,Zdalnie,"['Data', 'SQL', 'Python', 'Data modeling']",/pl/job/manufacturing-data-systems-analyst-link-group-remote,21840.0,26880.0,24360.0,True,False
Data and Financial Engineering Analyst,Mindbox Sp. z o.o.,Kraków,"['Data', 'Python', 'SQL', 'Jira']",/pl/job/data-and-financial-engineering-analyst-mindbox-krakow,16800.0,22680.0,19740.0,False,False
Data Quality Analyst Workday PRISM,Connectis_,Zdalnie,"['Data', 'Workday prism', 'Workday HCM', 'Excel']",/pl/job/data-quality-analyst-workday-prism-connectis--remote,28500.0,32500.0,30500.0,True,False
Senior Data Quality Management Analyst – BA,Mindbox Sp. z o.o.,Kraków,"['Testing', 'GCP', 'BigQuery', 'Cloud']",/pl/job/senior-data-quality-management-analyst-ba-mindbox-krakow,21000.0,25200.0,23100.0,False,False
Data Analyst,Mindbox Sp. z o.o.,Kraków,"['Data', 'Excel', 'Power Query', 'Power Pivot']",/pl/job/data-analyst-mindbox-krakow-4,21000.0,26880.0,23940.0,False,False
Data Analyst [M/F],Arche Solutions,Kraków,"['Data', 'SQL', 'Data analytics', 'angielski']",/pl/job/data-analyst-m-f-arche-solutions-krakow,21840.0,26880.0,24360.0,False,True
BI/Data Analyst,Innowise,Warszawa,"['Data', 'BI', 'SQL', 'Python']",/pl/job/bi-data-analyst-innowise-warszawa-1,,,,False,False
Data Visualization Analyst,Verita HR,Kraków,"['Data', 'SQL', 'Data visualization', 'Dashboarding']",/pl/job/data-visualization-analyst-verita-hr-krakow,25000.0,29000.0,27000.0,False,False
Data Analyst (Mid),Alterdata.io sp. z o.o.,Zdalnie,"['Data', 'SQL', 'Język angielski', 'Data modelling']",/pl/job/data-analyst-mid-alterdata-io-remote,12600.0,18480.0,15540.0,True,True
Aladdin Data Analyst,ITFS Sp. z o.o.,Zdalnie,"['Inne IT', 'Alladin', 'Alladin data cloud', 'angielski']",/pl/job/aladdin-data-analyst-itfs-remote,21840.0,25200.0,23520.0,True,True
Data Analyst - Data Excellence,Ledgebrook,Zdalnie,"['Data', 'SQL', 'Power BI', 'Power Query']",/pl/job/data-analyst-data-excellence-ledgebrook-remote,12500.0,15850.0,14175.0,True,False
Clinical Data Analyst,Ework Group,Zdalnie,"['Data', 'SQL', 'Databricks', 'Python']",/pl/job/clinical-data-analyst-ework-group-remote,28896.0,31080.0,29988.0,True,False
Data Analyst,Ework Group,Gdańsk,"['Data', 'SQL', 'Hive', 'Data analysis']",/pl/job/data-analyst-ework-group-gdansk-3,21840.0,25200.0,23520.0,False,False
Data Business Analyst,DCG,Gdynia,"['Data', 'SQL', 'Hive', 'Spark']",/pl/job/data-business-analyst-dcg-gdynia,21840.0,22680.0,22260.0,False,False
Senior IT Analyst – Data & ML Solutions,Ework Group,Gdańsk,"['Data', 'AWS', 'AWS SageMaker', 'Data analysis']",/pl/job/senior-it-analyst-data-ml-solutions-ework-group-gdansk,21000.0,25200.0,23100.0,False,False
