title,company,location,salary,skills,link,salary_min,salary_max,mid_salary,is_remote,has_english
Senior Data Quality Management Analyst (Tech Business Analyst)  NOWA,Antal,Kraków,,BigQuery,/pl/job/senior-data-quality-management-analyst-tech-business-analyst-antal-krakow,,,,False,False
Technical Business Data Analyst  NOWA,Verita HR,Kraków,24000  – 28500  PLN,Business Analysis,/pl/job/technical-business-data-analyst-verita-hr-krakow,24000.0,28500.0,26250.0,False,False
Technical Business Data Analyst  NOWA,Verita HR,Kraków,24000  – 28500  PLN,Data analytics,/pl/job/technical-business-data-analyst-verita-hr-krakow,24000.0,28500.0,26250.0,False,False
Technical Business Data Analyst  NOWA,Verita HR,Kraków,24000  – 28500  PLN,Business Analysis,/pl/job/technical-business-data-analyst-verita-hr-krakow,24000.0,28500.0,26250.0,False,False
Technical Business Data Analyst  NOWA,Verita HR,Kraków,24000  – 28500  PLN,Hadoop,/pl/job/technical-business-data-analyst-verita-hr-krakow,24000.0,28500.0,26250.0,False,False
"Data Analyst (with Chinese, Japanese, Korean) (Sourcing Requisition)",Capgemini,Warszawa,,Data,/pl/job/data-analyst-with-chinese-japanese-korean-sourcing-requisition-capgemini-warszawa,,,,False,False
"Data Analyst (with Chinese, Japanese, Korean) (Sourcing Requisition)",Capgemini,Warszawa,,Data analytics,/pl/job/data-analyst-with-chinese-japanese-korean-sourcing-requisition-capgemini-warszawa,,,,False,False
"Data Analyst (with Chinese, Japanese, Korean) (Sourcing Requisition)",Capgemini,Warszawa,,Excel,/pl/job/data-analyst-with-chinese-japanese-korean-sourcing-requisition-capgemini-warszawa,,,,False,False
"Data Analyst (with Chinese, Japanese, Korean) (Sourcing Requisition)",Capgemini,Warszawa,,Power BI,/pl/job/data-analyst-with-chinese-japanese-korean-sourcing-requisition-capgemini-warszawa,,,,False,False
Senior Data Analyst SQL  NOWA,Makeitright Sp. z o.o.,Warszawa,23520  – 28560  PLN,Business Analysis,/pl/job/senior-data-analyst-sql-makeitright-warszawa,23520.0,28560.0,26040.0,False,False
Senior Data Analyst SQL  NOWA,Makeitright Sp. z o.o.,Warszawa,23520  – 28560  PLN,SQL,/pl/job/senior-data-analyst-sql-makeitright-warszawa,23520.0,28560.0,26040.0,False,False
Senior Data Analyst SQL  NOWA,Makeitright Sp. z o.o.,Warszawa,23520  – 28560  PLN,C,/pl/job/senior-data-analyst-sql-makeitright-warszawa,23520.0,28560.0,26040.0,False,False
Senior Data Analyst SQL  NOWA,Makeitright Sp. z o.o.,Warszawa,23520  – 28560  PLN,UAT,/pl/job/senior-data-analyst-sql-makeitright-warszawa,23520.0,28560.0,26040.0,False,False
Reference Data Analyst  NOWA,Link Group,Warszawa,20000  – 30000  PLN,Data,/pl/job/reference-data-analyst-link-group-warszawa,20000.0,30000.0,25000.0,False,False
Reference Data Analyst  NOWA,Link Group,Warszawa,20000  – 30000  PLN,Data analysis,/pl/job/reference-data-analyst-link-group-warszawa,20000.0,30000.0,25000.0,False,False
Reference Data Analyst  NOWA,Link Group,Warszawa,20000  – 30000  PLN,Reference Data,/pl/job/reference-data-analyst-link-group-warszawa,20000.0,30000.0,25000.0,False,False
Reference Data Analyst  NOWA,Link Group,Warszawa,20000  – 30000  PLN,Data quality,/pl/job/reference-data-analyst-link-group-warszawa,20000.0,30000.0,25000.0,False,False
Data Analyst/Scrum Master  NOWA,"AVENGA (Agencja Pracy, nr KRAZ: 8448)",Wrocław,19000  – 21000  PLN,Data,/pl/job/data-analyst-scrum-master-avenga-agencja-pracy-nr-kraz-8448-wroclaw,19000.0,21000.0,20000.0,False,False
Data Analyst/Scrum Master  NOWA,"AVENGA (Agencja Pracy, nr KRAZ: 8448)",Wrocław,19000  – 21000  PLN,SQL,/pl/job/data-analyst-scrum-master-avenga-agencja-pracy-nr-kraz-8448-wroclaw,19000.0,21000.0,20000.0,False,False
Data Analyst/Scrum Master  NOWA,"AVENGA (Agencja Pracy, nr KRAZ: 8448)",Wrocław,19000  – 21000  PLN,Data modeling,/pl/job/data-analyst-scrum-master-avenga-agencja-pracy-nr-kraz-8448-wroclaw,19000.0,21000.0,20000.0,False,False
Data Analyst/Scrum Master  NOWA,"AVENGA (Agencja Pracy, nr KRAZ: 8448)",Wrocław,19000  – 21000  PLN,Power BI,/pl/job/data-analyst-scrum-master-avenga-agencja-pracy-nr-kraz-8448-wroclaw,19000.0,21000.0,20000.0,False,False
Data Analyst  NOWA,Link Group,Zdalnie,14000  – 17000  PLN,Data,/pl/job/data-analyst-link-group-remote-6,14000.0,17000.0,15500.0,True,False
Data Analyst  NOWA,Link Group,Zdalnie,14000  – 17000  PLN,SQL,/pl/job/data-analyst-link-group-remote-6,14000.0,17000.0,15500.0,True,False
Data Analyst  NOWA,Link Group,Zdalnie,14000  – 17000  PLN,Tableau,/pl/job/data-analyst-link-group-remote-6,14000.0,17000.0,15500.0,True,False
Data Analyst  NOWA,Link Group,Zdalnie,14000  – 17000  PLN,Power BI,/pl/job/data-analyst-link-group-remote-6,14000.0,17000.0,15500.0,True,False
Business Analyst (Data Governance)  NOWA,Scalo,Zdalnie,19320  – 21000  PLN,Data,/pl/job/business-analyst-data-governance-scalo-remote,19320.0,21000.0,20160.0,True,True
Business Analyst (Data Governance)  NOWA,Scalo,Zdalnie,19320  – 21000  PLN,Ab Initio,/pl/job/business-analyst-data-governance-scalo-remote,19320.0,21000.0,20160.0,True,True
